,ko:K03577,ko:K01130,"ko:K01130,ko:K01138","ko:K00796,ko:K18824","ko:K01426,ko:K02433",ko:K01426,"ko:K00784,ko:K02237","ko:K03577,ko:K18140","ko:K13941,ko:K18824,ko:K18974",ko:K01133,"ko:K01426,ko:K10765,ko:K20168","ko:K03577,ko:K18135",ko:K21727,ko:K00784,ko:K00675,"ko:K01426,ko:K01455","ko:K00622,ko:K00675","ko:K00784,ko:K01120","ko:K01426,ko:K02433,ko:K21801"
SAMN37257400,9.52,71.1,0.1,134.83999999999997,108.35000000000001,171.08,0.0,0.0,0.0,56.5,2.14,0.24,0.45,343.43,9.86,6.209999999999999,2.6799999999999997,0.11,0.21
SAMN37257404,0.04,1.94,0.0,0.76,2.96,129.84,0.0,0.0,0.0,45.839999999999996,0.11,0.0,0.0,23.47,1.72,0.77,0.0,0.0,0.0
SAMN37257405,0.1,16.17,0.02,2.69,27.99,168.55,0.0,0.0,0.0,65.27,0.51,0.0,0.0,64.13,5.66,10.94,0.0,0.0,0.0
SAMN37257406,0.0,9.469999999999999,0.02,2.74,20.330000000000002,226.16,0.0,0.0,0.0,64.95,0.0,0.0,0.0,44.32,5.51,6.33,0.0,0.0,0.0
SAMN37257407,0.09,14.569999999999999,0.03,2.84,32.42,187.82999999999998,0.0,0.0,0.0,49.739999999999995,0.33,0.0,0.0,65.94,5.46,8.149999999999999,0.0,0.0,0.0
SAMN37257408,0.09,4.49,0.0,1.2300000000000002,6.51,171.76,0.0,0.0,0.0,46.559999999999995,0.0,0.0,0.07,26.6,2.96,0.45,0.52,0.0,0.0
SAMN37257409,0.27,8.64,0.0,2.46,21.92,202.63,0.0,0.09,0.0,54.22,0.13,0.0,0.0,64.39,3.9800000000000004,5.96,0.04,0.0,0.0
SAMN37257410,3.53,27.77,0.0,9.1,84.39,126.50999999999999,0.0,0.0,0.0,41.68,0.08,0.0,0.0,56.44,3.78,22.64,0.0,0.0,0.0
SAMN37257411,0.34,2.91,0.1,0.14,6.4,164.45,0.0,0.0,0.0,40.35,0.09,0.0,0.05,19.02,1.81,0.0,0.25,0.31,0.0
SAMN37257412,0.0,2.2,0.0,0.25,11.44,153.26999999999998,0.0,0.0,0.0,48.129999999999995,0.08,0.0,0.05,28.61,1.96,0.15000000000000002,0.3,0.07,0.0
SAMN37257413,0.15000000000000002,3.27,0.0,0.13,28.46,150.04,0.0,0.0,0.0,41.45,0.12,0.08,0.0,27.84,2.33,0.35000000000000003,0.28,0.0,0.0
SAMN37257414,0.15,4.28,0.06,0.16999999999999998,30.419999999999998,148.3,0.0,0.0,0.0,48.87,0.21,0.0,0.06,34.04,3.02,0.88,0.17,0.0,0.0
SAMN37257418,0.37,1.6600000000000001,0.06,0.0,0.64,1.65,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.62,0.1,0.0,0.0,0.0,0.0
SAMN37257419,0.92,2.17,0.0,0.0,1.5,1.66,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.79,0.21,0.44000000000000006,0.0,0.0,0.0
